Country,Subject Descriptor,Units,Scale,"Country/Series-specific Notes",2019,2020,2021
Panama,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,1.541,-3.416,1.987
Panama,"Inflation, average consumer prices",Percent change,,,-0.355,-0.906,0.498
Panama,"Inflation, end of period consumer prices",Percent change,,,-0.064,-1,1
Panama,Unemployment rate,Percent of total labor force,,,7.07,8.798,8.432
Panama,General government net lending/borrowing,Percent of GDP,,,-3.144,-6.245,-2.517
Panama,Current account balance,Percent of GDP,,,-5.24,-6.8,-5.985
Papua New Guinea,"Gross domestic product, constant prices",Percent change,,,5.026,-0.961,2.919
Papua New Guinea,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,34.617,34.502,36.202
Papua New Guinea,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,2.88,-2.984,0.817
Papua New Guinea,"Inflation, average consumer prices",Percent change,,,3.76,4.652,5.921
Papua New Guinea,"Inflation, end of period consumer prices",Percent change,,,3.369,5.245,6.157
Papua New Guinea,General government net lending/borrowing,Percent of GDP,,,-4.139,-4.962,-3.851
Papua New Guinea,Current account balance,Percent of GDP,,,24.107,19.802,23.058
Paraguay,"Gross domestic product, constant prices",Percent change,,,0.2,-1,4
Paraguay,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,96.306,95.949,101.732
Paraguay,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-1.197,-2.365,2.58
Paraguay,"Inflation, average consumer prices",Percent change,,,2.757,2.909,3.158
Paraguay,"Inflation, end of period consumer prices",Percent change,,,2.81,3.008,3.308
Paraguay,Unemployment rate,Percent of total labor force,,,7.175,7.065,6.366
Paraguay,General government net lending/borrowing,Percent of GDP,,,-3.883,-5.116,-3.654
Paraguay,Current account balance,Percent of GDP,,,-0.978,-2.186,-1.029
Peru,"Gross domestic product, constant prices",Percent change,,,2.162,-4.534,5.247
Peru,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,476.014,457.32,490.701
Peru,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-0.919,-5.479,4.205
Peru,"Inflation, average consumer prices",Percent change,,,2.136,1.711,1.789
Peru,"Inflation, end of period consumer prices",Percent change,,,1.9,1.575,2.003
Peru,Unemployment rate,Percent of total labor force,,,6.6,7.114,7.297
Peru,General government net lending/borrowing,Percent of GDP,,,-1.368,-7.085,-2.622
Peru,Current account balance,Percent of GDP,,,-1.363,-0.87,-0.988
Philippines,"Gross domestic product, constant prices",Percent change,,,5.905,0.648,7.616
Philippines,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"1,027.19","1,040.41","1,141.48"
Philippines,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,4.272,-0.938,5.92
Philippines,"Inflation, average consumer prices",Percent change,,,2.48,1.721,2.882
Philippines,"Inflation, end of period consumer prices",Percent change,,,2.523,2.6,3
Philippines,Unemployment rate,Percent of total labor force,,,5.075,6.2,5.25
Philippines,General government net lending/borrowing,Percent of GDP,,,-1.926,-3.361,-2.724
Philippines,Current account balance,Percent of GDP,,,-0.129,-2.255,-2.207
Poland,"Gross domestic product, constant prices",Percent change,,,4.095,-4.579,4.232
Poland,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"1,287.28","1,236.13","1,313.57"
Poland,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,4.105,-4.519,4.316
Poland,"Inflation, average consumer prices",Percent change,,,2.308,3.225,2.58
Poland,"Inflation, end of period consumer prices",Percent change,,,3.4,2.149,2.543
Poland,Unemployment rate,Percent of total labor force,,,3.279,9.919,8.032
Poland,General government net lending/borrowing,Percent of GDP,,,-0.708,-6.734,-3.511
Poland,Current account balance,Percent of GDP,,,0.489,0.159,0.1
Portugal,"Gross domestic product, constant prices",Percent change,,,2.157,-8,5
Portugal,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,346.926,321.199,343.835
Portugal,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,2.197,-7.861,5.187
Portugal,"Inflation, average consumer prices",Percent change,,,0.3,-0.198,1.35
Portugal,"Inflation, end of period consumer prices",Percent change,,,0.369,-0.242,1.574
Portugal,Unemployment rate,Percent of total labor force,,,6.463,13.94,8.685
Portugal,General government net lending/borrowing,Percent of GDP,,,0.19,-7.094,-1.888
Portugal,Current account balance,Percent of GDP,,,-0.085,0.282,-0.356
Puerto Rico,"Gross domestic product, constant prices",Percent change,,,2,-6,1.5
Puerto Rico,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,130.925,123.851,128.16
Puerto Rico,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,3.03,-4.569,3.052
Puerto Rico,"Inflation, average consumer prices",Percent change,,,0.733,-1.549,0.641
Puerto Rico,"Inflation, end of period consumer prices",Percent change,,,0.733,-1.549,0.641
Puerto Rico,Unemployment rate,Percent of total labor force,,,8.5,13,12.5
Puerto Rico,General government net lending/borrowing,Percent of GDP,,,-2.589,-3.669,-2.145
Qatar,"Gross domestic product, constant prices",Percent change,,,0.066,-4.345,5.037
Qatar,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,358.869,345.455,369.93
Qatar,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-1.169,-4.584,4.775
Qatar,"Inflation, average consumer prices",Percent change,,,-0.552,-1.19,2.412
Qatar,General government net lending/borrowing,Percent of GDP,,,4.061,5.25,1.392
Qatar,Current account balance,Percent of GDP,,,2.372,-1.92,-1.783
Romania,"Gross domestic product, constant prices",Percent change,,,4.078,-5,3.9
Romania,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,549.195,525.051,556.164
Romania,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,4.751,-4.994,3.906
Romania,"Inflation, average consumer prices",Percent change,,,3.825,2.245,1.455
Romania,"Inflation, end of period consumer prices",Percent change,,,4.047,1.388,1.937
Romania,Unemployment rate,Percent of total labor force,,,3.912,10.1,6
Romania,General government net lending/borrowing,Percent of GDP,,,-4.583,-8.867,-6.992
Romania,Current account balance,Percent of GDP,,,-4.719,-5.504,-4.685
Russia,"Gross domestic product, constant prices",Percent change,,,1.336,-5.466,3.496
Russia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"4,389.96","4,176.35","4,406.63"
Russia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,1.385,-5.395,3.604
Russia,"Inflation, average consumer prices",Percent change,,,4.47,3.088,2.988
Russia,"Inflation, end of period consumer prices",Percent change,,,3.046,3.793,2.887
Russia,Unemployment rate,Percent of total labor force,,,4.6,4.931,4.81
Russia,General government net lending/borrowing,Percent of GDP,,,1.934,-4.841,-3.009
Russia,Current account balance,Percent of GDP,,,3.822,0.702,0.583
Rwanda,"Gross domestic product, constant prices",Percent change,,,10.063,3.5,6.65
Rwanda,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,30.971,32.258,35.074
Rwanda,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,7.531,1.14,4.241
Rwanda,"Inflation, average consumer prices",Percent change,,,2.426,6.9,5.4
Rwanda,"Inflation, end of period consumer prices",Percent change,,,6.731,5,5
Rwanda,General government net lending/borrowing,Percent of GDP,,,-5.181,-8.073,-4.633
Rwanda,Current account balance,Percent of GDP,,,-9.233,-16.222,-10.197
Samoa,"Gross domestic product, constant prices",Percent change,,,3.464,-3.668,0.5
Samoa,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,1.168,1.132,1.16
Samoa,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,2.552,-4.517,-0.386
Samoa,"Inflation, average consumer prices",Percent change,,,2.188,2.3,1.55
Samoa,"Inflation, end of period consumer prices",Percent change,,,-0.087,1.7,1.4
Samoa,General government net lending/borrowing,Percent of GDP,,,2.717,-9.058,-5.933
Samoa,Current account balance,Percent of GDP,,,2.284,-6.426,-4.42
San Marino,"Gross domestic product, constant prices",Percent change,,,1.1,-12.17,5.4
San Marino,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,2.084,1.842,1.98
San Marino,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,0.582,-12.62,5.078
San Marino,"Inflation, average consumer prices",Percent change,,,0.951,0.305,1.47
San Marino,"Inflation, end of period consumer prices",Percent change,,,0.951,0.305,1.47
San Marino,Unemployment rate,Percent of total labor force,,,7.66,10.314,8.557
San Marino,General government net lending/borrowing,Percent of GDP,,,-2.483,-7.314,-6.549
San Marino,Current account balance,Percent of GDP,,,0.717,-4.454,-1.438
São Tomé and Príncipe,"Gross domestic product, constant prices",Percent change,,,1.302,-6,5.5
São Tomé and Príncipe,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,0.745,0.705,0.758
São Tomé and Príncipe,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-0.601,-8.156,3.135
São Tomé and Príncipe,"Inflation, average consumer prices",Percent change,,,8.356,7.867,6.962
São Tomé and Príncipe,"Inflation, end of period consumer prices",Percent change,,,7.724,8,6
São Tomé and Príncipe,General government net lending/borrowing,Percent of GDP,,,-1.758,-4.48,-1.883
São Tomé and Príncipe,Current account balance,Percent of GDP,,,-12.281,-10.645,-8.928
Saudi Arabia,"Gross domestic product, constant prices",Percent change,,,0.331,-2.283,2.927
Saudi Arabia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"1,900.89","1,869.29","1,961.52"
Saudi Arabia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-1.636,-4.199,0.909
Saudi Arabia,"Inflation, average consumer prices",Percent change,,,-1.212,0.872,1.961
Saudi Arabia,"Inflation, end of period consumer prices",Percent change,,,0.247,0.872,1.961
Saudi Arabia,General government net lending/borrowing,Percent of GDP,,,-4.452,-12.593,-9.025
Saudi Arabia,Current account balance,Percent of GDP,,,6.286,-3.078,-3.394
Senegal,"Gross domestic product, constant prices",Percent change,,,5.287,2.992,5.488
Senegal,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,64.101,66.438,71.451
Senegal,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,2.372,0.14,2.567
Senegal,"Inflation, average consumer prices",Percent change,,,1.02,2,1.921
Senegal,"Inflation, end of period consumer prices",Percent change,,,0.638,1.869,1.966
Senegal,General government net lending/borrowing,Percent of GDP,,,-3.888,-5.643,-3.257
Senegal,Current account balance,Percent of GDP,,,-9.137,-11.259,-11.421
Serbia,"Gross domestic product, constant prices",Percent change,,,4.187,-3.016,7.474
Serbia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,130.222,127.096,139.258
Serbia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,4.469,-2.627,7.906
Serbia,"Inflation, average consumer prices",Percent change,,,1.85,1.437,1.938
Serbia,"Inflation, end of period consumer prices",Percent change,,,1.85,1.55,2
Serbia,Unemployment rate,Percent of total labor force,,,10.909,13.408,12.973
Serbia,General government net lending/borrowing,Percent of GDP,,,-0.005,-7.031,-0.302
Serbia,Current account balance,Percent of GDP,,,-6.883,-6.137,-5.481
Seychelles,"Gross domestic product, constant prices",Percent change,,,3.901,-10.835,8.031
Seychelles,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,3.06,2.746,3.025
Seychelles,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,2.918,-11.57,7.111
Seychelles,"Inflation, average consumer prices",Percent change,,,1.807,4.509,3.131
Seychelles,"Inflation, end of period consumer prices",Percent change,,,1.692,4.811,3.45
Seychelles,Unemployment rate,Percent of total labor force,,,3,3,3
Seychelles,General government net lending/borrowing,Percent of GDP,,,0.884,-14.089,-5.657
Seychelles,Current account balance,Percent of GDP,,,-16.682,-27.791,-23.598
Sierra Leone,"Gross domestic product, constant prices",Percent change,,,5.124,-2.314,3.995
Sierra Leone,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,13.089,12.868,13.642
Sierra Leone,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,2.93,-4.319,1.895
Sierra Leone,"Inflation, average consumer prices",Percent change,,,14.803,15.446,15.25
Sierra Leone,"Inflation, end of period consumer prices",Percent change,,,13.892,17,13.5
Sierra Leone,General government net lending/borrowing,Percent of GDP,,,-2.861,-5.58,-5.375
Sierra Leone,Current account balance,Percent of GDP,,,-13.929,-14.281,-12.726
Singapore,"Gross domestic product, constant prices",Percent change,,,0.733,-3.47,2.962
Singapore,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,593.802,576.839,605.504
Singapore,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-0.413,-4.581,1.788
Singapore,"Inflation, average consumer prices",Percent change,,,0.565,-0.169,0.512
Singapore,"Inflation, end of period consumer prices",Percent change,,,0.761,-0.437,0.887
Singapore,Unemployment rate,Percent of total labor force,,,2.25,2.45,2.4
Singapore,General government net lending/borrowing,Percent of GDP,,,3.842,-3.475,1.783
Singapore,Current account balance,Percent of GDP,,,16.97,14.822,15.707
Slovak Republic,"Gross domestic product, constant prices",Percent change,,,2.276,-6.2,4.963
Slovak Republic,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,198.382,187.264,200.39
Slovak Republic,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,2.139,-6.326,4.822
Slovak Republic,"Inflation, average consumer prices",Percent change,,,2.767,1.064,1.446
Slovak Republic,"Inflation, end of period consumer prices",Percent change,,,3.217,0.396,1.791
Slovak Republic,Unemployment rate,Percent of total labor force,,,5.775,8.016,7.392
Slovak Republic,General government net lending/borrowing,Percent of GDP,,,-1.26,-5.907,-2.784
Slovak Republic,Current account balance,Percent of GDP,,,-3.175,-2.985,-2.448
Slovenia,"Gross domestic product, constant prices",Percent change,,,2.443,-8.039,5.448
Slovenia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,79.179,73.276,78.775
Slovenia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,2.394,-8.083,5.398
Slovenia,"Inflation, average consumer prices",Percent change,,,1.628,0.401,1.408
Slovenia,"Inflation, end of period consumer prices",Percent change,,,1.841,0.199,1.782
Slovenia,Unemployment rate,Percent of total labor force,,,4.6,9,6
Slovenia,General government net lending/borrowing,Percent of GDP,,,0.533,-6.588,-2.149
Slovenia,Current account balance,Percent of GDP,,,6.563,0.846,3.24
Solomon Islands,"Gross domestic product, constant prices",Percent change,,,1.24,-2.07,3.767
Solomon Islands,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,1.455,1.433,1.516
Solomon Islands,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-0.94,-4.178,1.533
Solomon Islands,"Inflation, average consumer prices",Percent change,,,2.245,2.388,2.996
Solomon Islands,"Inflation, end of period consumer prices",Percent change,,,2.243,1.674,4.112
Solomon Islands,General government net lending/borrowing,Percent of GDP,,,-2.689,-7.26,-7.781
Solomon Islands,Current account balance,Percent of GDP,,,-6.374,-15.024,-14.68
Somalia,"Gross domestic product, constant prices",Percent change,,,2.9,-2.5,2.9
Somalia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,12.655,12.417,13.026
Somalia,"Inflation, end of period consumer prices",Percent change,,,3.13,3,2.5
Somalia,Current account balance,Percent of GDP,,,-13.734,-11.394,-11.194
South Africa,"Gross domestic product, constant prices",Percent change,,,0.153,-5.801,4
South Africa,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,804.688,762.826,808.806
South Africa,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-1.272,-7.216,2.438
South Africa,"Inflation, average consumer prices",Percent change,,,4.13,2.432,3.163
South Africa,"Inflation, end of period consumer prices",Percent change,,,3.745,0,4.334
South Africa,Unemployment rate,Percent of total labor force,,,28.7,35.313,34.111
South Africa,General government net lending/borrowing,Percent of GDP,,,-6.254,-13.259,-12.67
South Africa,Current account balance,Percent of GDP,,,-3.017,0.158,-1.325
South Sudan,"Gross domestic product, constant prices",Percent change,,,11.283,4.893,3.222
South Sudan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,22.092,23.32,24.541
South Sudan,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,7.937,1.739,0.119
South Sudan,"Inflation, average consumer prices",Percent change,,,51.187,8.14,24.453
South Sudan,"Inflation, end of period consumer prices",Percent change,,,30.019,39.7,16.688
South Sudan,General government net lending/borrowing,Percent of GDP,,,-0.271,-2.709,-1.222
South Sudan,Current account balance,Percent of GDP,,,-2.54,-2.427,0.274
Spain,"Gross domestic product, constant prices",Percent change,,,1.977,-8,4.276
Spain,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"1,923.65","1,781.00","1,893.36"
Spain,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,1.895,-8.413,3.81
Spain,"Inflation, average consumer prices",Percent change,,,0.7,-0.301,0.654
Spain,"Inflation, end of period consumer prices",Percent change,,,0.788,-0.988,1.394
Spain,Unemployment rate,Percent of total labor force,,,14.105,20.801,17.477
Spain,General government net lending/borrowing,Percent of GDP,,,-2.642,-9.509,-6.656
Spain,Current account balance,Percent of GDP,,,1.999,2.178,2.39
Sri Lanka,"Gross domestic product, constant prices",Percent change,,,2.283,-0.536,4.188
Sri Lanka,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,304.166,304.458,323.394
Sri Lanka,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,1.66,-1.142,3.552
Sri Lanka,"Inflation, average consumer prices",Percent change,,,4.303,4.665,4.65
Sri Lanka,"Inflation, end of period consumer prices",Percent change,,,4.83,4.5,4.8
Sri Lanka,Unemployment rate,Percent of total labor force,,,4.9,6.3,5
Sri Lanka,General government net lending/borrowing,Percent of GDP,,,-6.766,-9.445,-8.289
Sri Lanka,Current account balance,Percent of GDP,,,-2.152,-3.631,-2.938
St. Kitts and Nevis,"Gross domestic product, constant prices",Percent change,,,2.909,-8.1,8.55
St. Kitts and Nevis,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,1.656,1.532,1.695
St. Kitts and Nevis,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,1.869,-9.029,7.452
St. Kitts and Nevis,"Inflation, average consumer prices",Percent change,,,-0.179,0.884,1.672
St. Kitts and Nevis,"Inflation, end of period consumer prices",Percent change,,,0.39,1.377,1.967
St. Kitts and Nevis,General government net lending/borrowing,Percent of GDP,,,3.888,-6.805,-4.427
St. Kitts and Nevis,Current account balance,Percent of GDP,,,-1.709,-10.731,-8.543
St. Lucia,"Gross domestic product, constant prices",Percent change,,,1.729,-8.496,6.852
St. Lucia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,2.934,2.702,2.944
St. Lucia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,1.092,-9.068,6.183
St. Lucia,"Inflation, average consumer prices",Percent change,,,0.714,0.165,1.822
St. Lucia,"Inflation, end of period consumer prices",Percent change,,,0.74,0.685,2
St. Lucia,General government net lending/borrowing,Percent of GDP,,,-2.232,-8.184,-3.31
St. Lucia,Current account balance,Percent of GDP,,,4.634,-10.327,0.197
St. Vincent and the Grenadines,"Gross domestic product, constant prices",Percent change,,,0.4,-4.547,5.354
St. Vincent and the Grenadines,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,1.381,1.327,1.425
St. Vincent and the Grenadines,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,0.299,-4.643,5.249
St. Vincent and the Grenadines,"Inflation, average consumer prices",Percent change,,,0.906,0.866,1.628
St. Vincent and the Grenadines,"Inflation, end of period consumer prices",Percent change,,,0.451,1.536,1.998
St. Vincent and the Grenadines,General government net lending/borrowing,Percent of GDP,,,-2.383,-7.729,-9.678
St. Vincent and the Grenadines,Current account balance,Percent of GDP,,,-10.113,-20.064,-14.8
Sudan,"Gross domestic product, constant prices",Percent change,,,-2.521,-7.222,-3.036
Sudan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,175.228,163.606,161.732
Sudan,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-5.312,-9.573,-5.493
Sudan,"Inflation, average consumer prices",Percent change,,,50.994,81.284,91.123
Sudan,"Inflation, end of period consumer prices",Percent change,,,57.011,96.14,94.043
Sudan,Unemployment rate,Percent of total labor force,,,22.1,25,22
Sudan,General government net lending/borrowing,Percent of GDP,,,-10.818,-16.905,-20.647
Sudan,Current account balance,Percent of GDP,,,-14.932,-15.188,-11.836
Suriname,"Gross domestic product, constant prices",Percent change,,,2.3,-4.9,4.9
Suriname,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,9.358,8.956,9.578
Suriname,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,1.087,-6.028,3.656
Suriname,"Inflation, average consumer prices",Percent change,,,4.392,27.893,22.748
Suriname,"Inflation, end of period consumer prices",Percent change,,,4.215,49.384,6.669
Suriname,Unemployment rate,Percent of total labor force,,,8.6,9.452,8.6
Suriname,General government net lending/borrowing,Percent of GDP,,,-8.537,-6.896,-9.858
Suriname,Current account balance,Percent of GDP,,,-10.711,-12.012,-10.959
Sweden,"Gross domestic product, constant prices",Percent change,,,1.232,-6.788,5.168
Sweden,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,564.771,529.778,568.017
Sweden,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,0.277,-8.404,4.14
Sweden,"Inflation, average consumer prices",Percent change,,,1.699,0.457,1.528
Sweden,"Inflation, end of period consumer prices",Percent change,,,1.716,0.375,1.511
Sweden,Unemployment rate,Percent of total labor force,,,6.767,10.064,8.875
Sweden,General government net lending/borrowing,Percent of GDP,,,0.404,-5.334,-1.603
Sweden,Current account balance,Percent of GDP,,,3.905,2.212,4.017
Switzerland,"Gross domestic product, constant prices",Percent change,,,0.917,-5.966,3.777
Switzerland,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,566.231,535.832,566.911
Switzerland,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,0.196,-7.07,2.546
Switzerland,"Inflation, average consumer prices",Percent change,,,0.361,-0.387,0.597
Switzerland,"Inflation, end of period consumer prices",Percent change,,,0.173,-0.007,0.4
Switzerland,Unemployment rate,Percent of total labor force,,,2.306,2.725,2.6
Switzerland,General government net lending/borrowing,Percent of GDP,,,0.888,-5.06,-1.897
Switzerland,Current account balance,Percent of GDP,,,12.246,7.216,8.825
Taiwan Province of China,"Gross domestic product, constant prices",Percent change,,,2.714,-4.031,3.547
Taiwan Province of China,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"1,339.81","1,293.97","1,366.00"
Taiwan Province of China,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,2.652,-4.089,3.485
Taiwan Province of China,"Inflation, average consumer prices",Percent change,,,0.545,0.5,1.5
Taiwan Province of China,"Inflation, end of period consumer prices",Percent change,,,1.133,0.5,1.5
Taiwan Province of China,Unemployment rate,Percent of total labor force,,,3.8,4.4,4
Taiwan Province of China,General government net lending/borrowing,Percent of GDP,,,-1.284,-1.264,-1.244
Taiwan Province of China,Current account balance,Percent of GDP,,,10.531,8.235,8.331
Tajikistan,"Gross domestic product, constant prices",Percent change,,,7.5,1,5.5
Tajikistan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,34.131,34.692,37.313
Tajikistan,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,5.362,-0.953,3.518
Tajikistan,"Inflation, average consumer prices",Percent change,,,7.802,8.065,6.926
Tajikistan,"Inflation, end of period consumer prices",Percent change,,,8,7.352,6.926
Tajikistan,General government net lending/borrowing,Percent of GDP,,,-2.101,-6.433,-3.007
Tajikistan,Current account balance,Percent of GDP,,,-3.34,-7.704,-4.502
Tanzania,"Gross domestic product, constant prices",Percent change,,,6.269,2.013,4.558
Tanzania,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,193.504,198.652,211.757
Tanzania,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,3.169,-0.94,1.532
Tanzania,"Inflation, average consumer prices",Percent change,,,3.449,3.856,4.262
Tanzania,"Inflation, end of period consumer prices",Percent change,,,3.849,4.065,4.313
Tanzania,General government net lending/borrowing,Percent of GDP,,,-2.857,-3.756,-4.381
Tanzania,Current account balance,Percent of GDP,,,-3.236,-3.795,-3.754
Thailand,"Gross domestic product, constant prices",Percent change,,,2.372,-6.662,6.066
Thailand,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"1,377.54","1,293.92","1,399.18"
Thailand,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,2.19,-6.803,5.933
Thailand,"Inflation, average consumer prices",Percent change,,,0.706,-1.061,0.563
Thailand,"Inflation, end of period consumer prices",Percent change,,,0.875,-1.057,0.726
Thailand,Unemployment rate,Percent of total labor force,,,1.1,1.1,1.1
Thailand,General government net lending/borrowing,Percent of GDP,,,-0.816,-3.449,-1.682
Thailand,Current account balance,Percent of GDP,,,6.862,5.165,5.569
Timor-Leste,"Gross domestic product, constant prices",Percent change,,,3.1,-3,3.8
Timor-Leste,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,2.017,2.613,2.238
Timor-Leste,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,0.762,25.777,-17.819
Timor-Leste,"Inflation, average consumer prices",Percent change,,,0.142,0.899,1.95
Timor-Leste,"Inflation, end of period consumer prices",Percent change,,,0.299,1.5,2.4
Timor-Leste,General government net lending/borrowing,Percent of GDP,,,-32.075,-27.537,-38.915
Timor-Leste,Current account balance,Percent of GDP,,,8.209,-28.111,-37.25
Togo,"Gross domestic product, constant prices",Percent change,,,5.3,1,4
Togo,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,14.972,15.217,16.135
Togo,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,2.716,-1.478,1.448
Togo,"Inflation, average consumer prices",Percent change,,,0.687,2,2
Togo,"Inflation, end of period consumer prices",Percent change,,,-0.329,4.753,-0.256
Togo,General government net lending/borrowing,Percent of GDP,,,2.134,-4.091,-1.591
Togo,Current account balance,Percent of GDP,,,-4.261,-5.359,-4.548
Tonga,"Gross domestic product, constant prices",Percent change,,,-0.141,-1.245,1.198
Tonga,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,0.624,0.62,0.639
Tonga,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-0.016,-1.121,1.325
Tonga,"Inflation, average consumer prices",Percent change,,,4.651,2.014,1.183
Tonga,"Inflation, end of period consumer prices",Percent change,,,3.173,0.889,1.474
Tonga,General government net lending/borrowing,Percent of GDP,,,1.001,-2.362,-1.458
Tonga,Current account balance,Percent of GDP,,,-8.851,-14.751,-15.691
Trinidad and Tobago,"Gross domestic product, constant prices",Percent change,,,-0.002,-4.54,2.602
Trinidad and Tobago,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,44.946,43.178,45.165
Trinidad and Tobago,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-0.37,-5.059,2.044
Trinidad and Tobago,"Inflation, average consumer prices",Percent change,,,1.001,-1.003,1.279
Trinidad and Tobago,"Inflation, end of period consumer prices",Percent change,,,0.37,-1.003,1.279
Trinidad and Tobago,Unemployment rate,Percent of total labor force,,,4.96,5.04,5.12
Trinidad and Tobago,General government net lending/borrowing,Percent of GDP,,,-3.692,-10.87,-7.644
Trinidad and Tobago,Current account balance,Percent of GDP,,,5.111,-3.258,0.502
Tunisia,"Gross domestic product, constant prices",Percent change,,,1.043,-4.276,4.087
Tunisia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,148.688,143.234,151.994
